datetime,close,high,low,open,volume
2023-01-02,1172.4229736328125,1173.8339554714264,1159.8152730282768,1160.6345333876427,5316175
2023-01-03,1163.8433837890625,1171.1030784147931,1159.6333122966857,1167.484608046624,7658932
2023-01-04,1146.3199462890625,1165.6638795067024,1144.2489814952548,1163.8204535723469,9264891
2023-01-05,1144.2718505859375,1154.444524100663,1139.6975967048293,1148.5730578082128,13637099
2023-01-06,1154.6719970703125,1159.7014488199864,1146.2062268293769,1150.0067279025698,6349597
2023-01-09,1181.935546875,1184.3024327987246,1157.6077880110724,1158.495310036998,10722753
2023-01-10,1164.457763671875,1186.1229559339358,1158.8139568288339,1186.1229559339358,8047142
2023-01-11,1149.7791748046875,1164.2756880320755,1147.4805506887315,1161.7723993271534,11509553
2023-01-12,1124.95068359375,1152.66937428215,1121.9466887446717,1149.1875477740466,17688773
2023-01-13,1123.1300048828125,1125.5422779668527,1108.1100323337862,1118.9425675214768,20618583
2023-01-16,1112.43408203125,1128.6146244497372,1104.650928111512,1125.451352485111,13623855
2023-01-17,1128.227783203125,1130.1393505155706,1115.39254413764,1118.7606010171576,10751000
2023-01-18,1126.361572265625,1133.8260509936374,1119.8302436718152,1125.8154789862106,13448286
2023-01-19,1125.155517578125,1129.2973269815554,1118.1461164478014,1125.5423336585025,11940054
2023-01-20,1111.7740478515625,1126.498099994501,1109.3162669117735,1126.498099994501,14930286
2023-01-23,1106.1529541015625,1122.4928945481186,1103.740680762082,1114.6643530412534,10954118
2023-01-24,1099.62158203125,1112.2291619475404,1086.604191358528,1110.567887379972,16488755
2023-01-25,1084.41943359375,1099.0525907434069,1083.2588649666125,1098.0285454381753,12385018
2023-01-27,1063.8466796875,1086.6041786241758,1052.1492554073047,1085.2615788879339,25830975
2023-01-30,1074.0421142578125,1079.5721516253268,1047.301962524109,1061.275136797208,21772103
2023-01-31,1071.356689453125,1086.7408457471734,1065.507977187044,1084.1691748734625,22691594
2023-02-01,1065.00732421875,1083.2360764936634,1049.1224630102595,1083.2360764936634,19347800
2023-02-02,1059.1131591796875,1068.6939904796102,1051.8534651796542,1055.039490983818,13662663
2023-02-03,1060.046142578125,1069.1491418437288,1043.6606957436647,1069.1491418437288,24699575
2023-02-06,1052.0582275390625,1056.4049422906214,1049.4866771417962,1053.6739942938243,14837879
2023-02-07,1049.5322265625,1059.317963418086,1043.6607603709601,1052.3086824433549,15135435
2023-02-08,1070.491943359375,1074.1104135326302,1050.0329473418535,1052.763775094713,21160332
2023-02-09,1072.35791015625,1079.0941439891108,1062.3218812610176,1071.174587683046,13172763
2023-02-10,1063.5281982421875,1071.8346919435837,1056.541550480388,1071.8346919435837,10790445
2023-02-13,1057.4747314453125,1069.6044807674139,1053.014246771071,1065.1439960931723,10352493
2023-02-14,1082.3941650390625,1084.1237013406706,1057.6112076513964,1060.4786791557608,14321920
2023-02-15,1106.9039306640625,1109.2935704583153,1080.0728831359263,1081.438236801432,33503591
2023-02-16,1106.0391845703125,1121.4005874250042,1103.7634345612037,1114.8691379463942,17264487
2023-02-17,1110.658935546875,1113.9816051705284,1097.1864667289992,1101.4649200456192,11809520
2023-02-20,1098.916015625,1115.0055411742242,1096.9588202637885,1112.843560839806,8836937
2023-02-21,1107.882568359375,1113.662898519213,1097.9829418267002,1103.285560740121,13311592
2023-02-22,1082.7581787109375,1106.0163837500274,1081.0058885994717,1104.1730780889727,11024335
2023-02-23,1077.5694580078125,1089.9723733814965,1074.7703686634186,1082.3486171348839,9851910
2023-02-24,1084.94287109375,1090.6095519639118,1077.7970672090605,1079.6176189122746,9434053
2023-02-27,1077.728759765625,1087.6511404469259,1070.3781703934308,1084.1691936141397,11199715
2023-02-28,1057.1104736328125,1077.341930453886,1053.0596796474115,1072.3807401740874,21994038
2023-03-01,1066.8280029296875,1067.556247767584,1057.4290817039348,1066.8735107076218,11551145
2023-03-02,1058.7034912109375,1070.3554080773672,1056.6780340138716,1063.6874354004365,9333535
2023-03-03,1085.7166748046875,1089.3806526612789,1065.7583852243542,1069.2174577017015,14643807
2023-03-06,1096.3216552734375,1103.5585953265452,1092.3618769382172,1092.3618769382172,10171916
2023-03-08,1100.2589111328125,1101.0099098785954,1085.5347367811812,1096.3217658966253,15782657
2023-03-09,1073.814453125,1100.0538988999717,1071.925639694687,1099.6443289280217,16235128
2023-03-10,1057.1787109375,1066.873432004649,1053.6967642276502,1065.7356172492796,13334091
2023-03-13,1039.7919921875,1066.873452659023,1035.4680311733223,1060.0462028218194,12771592
2023-03-14,1035.900390625,1049.0996910732963,1032.759872811723,1037.7436961620347,16027522
2023-03-15,1018.1951293945312,1046.0730981893198,1013.8029064238355,1039.6100305150924,21728555
2023-03-16,1013.1201171875,1025.9098489328373,1002.3330887657725,1020.9032712102262,18363159
2023-03-17,1011.8457641601562,1024.9768040332349,1007.1121729687228,1021.6997626346358,34014213
2023-03-20,1001.9006958007812,1010.4347882497465,992.228728371652,1008.1590382894185,19524589
2023-03-21,1033.0557861328125,1035.012981703826,1009.0693353007056,1009.9568573373366,21400360
2023-03-22,1036.1962890625,1042.9552773219068,1033.1922942805415,1040.019544203998,10920094
2023-03-23,1023.0880737304688,1033.1468580122537,1020.9260930464279,1032.2820898168275,16249370
2023-03-24,1002.833740234375,1024.0893029617876,1000.4214669115813,1021.9273224092733,12375945
2023-03-27,1018.4225463867188,1025.90977896285,1001.4227445518454,1009.2968533943721,14054323
2023-03-28,1023.1790161132812,1027.0477790218977,1018.1723180245734,1021.8135420535481,12576424
2023-03-29,1017.12548828125,1021.7224958577859,1006.3839078156758,1019.0825633693541,18804065
2023-03-31,1060.979248046875,1066.6231754133423,1026.2285229956078,1026.365046323969,28171201
2023-04-03,1061.1612548828125,1069.1491937096243,1053.674021972816,1067.3286419245596,10293043
2023-04-05,1058.6124267578125,1068.6939637197272,1050.7383779942936,1068.6939637197272,16262928
2023-04-06,1065.7127685546875,1071.4249575287643,1055.1077713504706,1055.1077713504706,18435046
2023-04-10,1058.1573486328125,1069.7865123929691,1056.6553511477282,1069.6044812774314,12961408
2023-04-11,1063.3916015625,1065.5080744845645,1057.7933019408324,1062.3220483520552,10542367
2023-04-12,1068.0797119140625,1077.7060516773786,1060.524216837008,1063.3915680312814,18179087
2023-04-13,1072.107666015625,1076.795689130458,1065.9631533362506,1070.9697308722916,12378208
2023-04-17,1077.5467529296875,1103.7179385078937,1069.1719976228505,1103.7179385078937,17929479
