Date,Type,Price,Size,Portfolio Value
2023-01-31,BUY,1090.7782802892427,30,99449.32981397897
2023-03-21,BUY,1047.2607635333443,30,98463.4820056349
2023-05-11,SELL,1131.958256659285,-60,103776.32408487948
2023-09-06,BUY,1206.7542365297652,30,103930.3022135959
2023-10-04,BUY,1155.7025939953498,30,102090.80032146978
2024-07-09,SELL,1589.6049108909244,-60,128278.9138225815
2024-10-14,BUY,1358.5250244140625,30,127843.9138225815
2024-11-24,BUY,1290.0,30,126043.16309015962
2024-12-23,BUY,1222.300048828125,30,122201.66162531587
